geo,geo_label,value,rank
EE,Estonia,95.9,1
MT,Malta,94.1,2
HU,Hungary,93.2,3
LT,Lithuania,93.2,4
IE,Ireland,92.7,5
DE,Germany,92.6,6
PL,Poland,92.4,7
LU,Luxembourg,92.4,8
NL,Netherlands,92.1,9
LV,Latvia,92.1,10
NO,Norway,91.8,11
IS,Iceland,91.6,12
CH,Switzerland,91.5,13
SE,Sweden,91.1,14
SI,Slovenia,90.9,15
AT,Austria,90.8,16
BG,Bulgaria,90.0,17
SK,Slovakia,88.6,18
PT,Portugal,88.0,19
BE,Belgium,87.8,20
CZ,Czechia,87.1,21
FI,Finland,86.5,22
DK,Denmark,86.4,23
ES,Spain,86.2,24
RO,Romania,84.3,25
CY,Cyprus,84.3,26
FR,France,82.0,27
HR,Croatia,81.8,28
IT,Italy,78.7,29
RS,Serbia,77.1,30
BA,Bosnia and Herzegovina,69.5,31
EL,Greece,66.9,32
TR,Türkiye,66.6,33
MK,North Macedonia,66.2,34
